fileName,groupName,attributeName,attributeValue
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,het
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,het
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,het
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,het
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,het
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,haem
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,het
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,blood
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hsid
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,other
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,id
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
Aids2.csv,sex:M,T.categ,hs
